"COUNTY","GEOID","DESCRIPTION","REGION","YEAR","UNEMPLOYMENT","IN_LABOR_FORCE","FRONTLINE_OCC","HIGH_UNEMP_OCC","UNEMPLOYMENT_2019_RR","FRONTLINE_OCC_RR","HIGH_UNEMP_OCC_RR"
"01121","0101000","Talladega, Cherokee, Randolph, Cleburne & Clay Counties, Alabama","Talladega-Sylacauga, AL",2019,0.023,0.432,0.345,0.142,1,1,1
"01125","0101500","Tuscaloosa (Outer) & Pickens Counties--Northport City (North & West), Alabama","Tuscaloosa, AL",2019,0.019,0.458,0.322,0.123,0.86,0.99,0.95
"01125","0101600","Tuscaloosa & Northport (Southeast) Cities, Alabama","Tuscaloosa, AL",2019,0.025,0.501,0.331,0.134,1.13,1.01,1.04
"02020","0200101","Anchorage Municipality (North), Alaska","Anchorage, AK",2019,0.027,0.492,0.241,0.086,1.04,0.93,0.7
"02020","0200102","Anchorage Municipality (South), Alaska","Anchorage, AK",2019,0.025,0.584,0.255,0.128,0.96,0.99,1.04
"02170","0200200","Matanuska-Susitna & Kenai Peninsula Boroughs, Alaska","Anchorage, AK",2019,0.026,0.451,0.277,0.149,1,1.07,1.22
"02090","0200300","Greater Fairbanks, Greater Juneau, Ketchikan Gateway Borough & Road-Connected Alaska, Alaska","Fairbanks, AK",2019,0.018,0.522,0.197,0.134,1,1,1
"04003","0400900","Cochise & Santa Cruz Counties--Sierra Vista City, Arizona","Sierra Vista-Douglas, AZ",2019,0.016,0.402,0.238,0.126,1,1,1
"04005","0400400","Coconino County--Flagstaff City, Arizona","Flagstaff, AZ",2019,0.048,0.511,0.259,0.228,1,1,1
"04007","0400800","Gila, Graham, Greenlee & Pinal (East) Counties, Arizona","Payson, AZ",2019,0.025,0.394,0.284,0.152,1,1,1
"04013","0400105","Maricopa County--Gilbert Town (North), Arizona","Phoenix-Mesa-Scottsdale, AZ",2019,0.017,0.555,0.248,0.144,0.79,1.02,1
"04013","0400117","Phoenix City (East), Arizona","Phoenix-Mesa-Scottsdale, AZ",2019,0.02,0.58,0.212,0.174,0.93,0.87,1.21
"04013","0400130","Maricopa County--El Mirage City & Sun City, Arizona","Phoenix-Mesa-Scottsdale, AZ",2019,0.018,0.32,0.302,0.149,0.84,1.25,1.03
"04013","0400121","Phoenix (Southwest) & Tolleson Cities, Arizona","Phoenix-Mesa-Scottsdale, AZ",2019,0.022,0.5,0.224,0.127,1.02,0.92,0.88
"04013","0400102","Maricopa County--Mesa City (North Central), Arizona","Phoenix-Mesa-Scottsdale, AZ",2019,0.034,0.518,0.227,0.176,1.58,0.94,1.22
"04013","0400129","Phoenix (Far North) & Peoria (Northwest) Cities, Arizona","Phoenix-Mesa-Scottsdale, AZ",2019,0.017,0.508,0.208,0.137,0.79,0.86,0.95
"04013","0400134","Maricopa County (West) & Gila River Indian Community (Northwest), Arizona","Phoenix-Mesa-Scottsdale, AZ",2019,0.026,0.462,0.277,0.14,1.21,1.14,0.97
"04013","0400104","Maricopa County--Mesa City (South Central), Arizona","Phoenix-Mesa-Scottsdale, AZ",2019,0.023,0.511,0.253,0.183,1.07,1.04,1.27
"04013","0400108","Maricopa County--Tempe (South) & Chandler (Northwest) Cities, Arizona","Phoenix-Mesa-Scottsdale, AZ",2019,0.032,0.59,0.254,0.124,1.49,1.05,0.86
"04013","0400123","Phoenix City--Maryvale (West), Arizona","Phoenix-Mesa-Scottsdale, AZ",2019,0.022,0.504,0.282,0.135,1.02,1.16,0.94
"04013","0400113","Phoenix City (Northeast), Arizona","Phoenix-Mesa-Scottsdale, AZ",2019,0.017,0.559,0.203,0.163,0.79,0.84,1.13
"04013","0400116","Phoenix City (Uptown), Arizona","Phoenix-Mesa-Scottsdale, AZ",2019,0.03,0.519,0.227,0.143,1.4,0.94,0.99
"04013","0400115","Phoenix City (Northwest Central), Arizona","Phoenix-Mesa-Scottsdale, AZ",2019,0.024,0.538,0.26,0.13,1.12,1.07,0.9
"04013","0400100","Maricopa County--Gilbert (South) & Queen Creek Towns, Arizona","Phoenix-Mesa-Scottsdale, AZ",2019,0.013,0.501,0.246,0.122,0.61,1.01,0.85
"04013","0400106","Maricopa County--Chandler City (Northeast), Arizona","Phoenix-Mesa-Scottsdale, AZ",2019,0.017,0.562,0.237,0.163,0.79,0.98,1.13
"04013","0400107","Maricopa County--Chandler City (South), Arizona","Phoenix-Mesa-Scottsdale, AZ",2019,0.016,0.472,0.225,0.11,0.75,0.93,0.76
"04013","0400109","Maricopa County--Tempe City (North), Arizona","Phoenix-Mesa-Scottsdale, AZ",2019,0.027,0.615,0.2,0.206,1.26,0.82,1.43
"04013","0400101","Maricopa County--Mesa City (East), Arizona","Phoenix-Mesa-Scottsdale, AZ",2019,0.024,0.47,0.288,0.144,1.12,1.19,1
"04013","0400125","Phoenix City (West), Arizona","Phoenix-Mesa-Scottsdale, AZ",2019,0.019,0.466,0.236,0.163,0.89,0.97,1.13
"04013","0400124","Maricopa County--Glendale City (South), Arizona","Phoenix-Mesa-Scottsdale, AZ",2019,0.026,0.459,0.262,0.134,1.21,1.08,0.93
"04013","0400127","Maricopa County--Peoria City (South & Central), Arizona","Phoenix-Mesa-Scottsdale, AZ",2019,0.021,0.522,0.256,0.115,0.98,1.06,0.8
"04013","0400128","Phoenix City (North), Arizona","Phoenix-Mesa-Scottsdale, AZ",2019,0.016,0.538,0.276,0.121,0.75,1.14,0.84
"04013","0400103","Maricopa County--Mesa City (West), Arizona","Phoenix-Mesa-Scottsdale, AZ",2019,0.027,0.521,0.23,0.138,1.26,0.95,0.96
"04013","0400132","Maricopa County--Goodyear, Glendale (West) & Litchfield Park (Northwest) Cities, Arizona","Phoenix-Mesa-Scottsdale, AZ",2019,0.023,0.473,0.236,0.145,1.07,0.97,1.01
"04013","0400120","Phoenix City--Ahwatukee & South Mountain, Arizona","Phoenix-Mesa-Scottsdale, AZ",2019,0.018,0.546,0.232,0.13,0.84,0.96,0.9
"04013","0400122","Phoenix City--Maryvale (East), Arizona","Phoenix-Mesa-Scottsdale, AZ",2019,0.016,0.424,0.245,0.136,0.75,1.01,0.94
"04013","0400110","Maricopa County--Scottsdale City (Southwest) & Paradise Valley Town, Arizona","Phoenix-Mesa-Scottsdale, AZ",2019,0.015,0.611,0.198,0.174,0.7,0.82,1.21
"04013","0400126","Maricopa County--Glendale City (North), Arizona","Phoenix-Mesa-Scottsdale, AZ",2019,0.028,0.544,0.266,0.161,1.3,1.1,1.12
"04013","0400118","Phoenix City--Downtown & Sky Harbor International Airport, Arizona","Phoenix-Mesa-Scottsdale, AZ",2019,0.013,0.56,0.215,0.189,0.61,0.89,1.31
"04013","0400119","Phoenix City (South), Arizona","Phoenix-Mesa-Scottsdale, AZ",2019,0.015,0.483,0.23,0.162,0.7,0.95,1.12
"04013","0400114","Phoenix City (Northeast Central), Arizona","Phoenix-Mesa-Scottsdale, AZ",2019,0.024,0.558,0.218,0.155,1.12,0.9,1.08
"04013","0400112","Maricopa County--Scottsdale (North), Phoenix (Far Northeast) Cities & Cave Creek, Arizona","Phoenix-Mesa-Scottsdale, AZ",2019,0.01,0.482,0.204,0.093,0.47,0.84,0.65
"04013","0400111","Maricopa County (Northeast)--Scottsdale City (Southeast) & Fountain Hills Town, Arizona","Phoenix-Mesa-Scottsdale, AZ",2019,0.03,0.501,0.203,0.146,1.4,0.84,1.01
"04013","0400133","Maricopa County--Avondale (Central) & Litchfield Park (Central) Cities, Arizona","Phoenix-Mesa-Scottsdale, AZ",2019,0.034,0.554,0.302,0.099,1.58,1.25,0.69
"04013","0400131","Maricopa County--Surprise City (Central), Arizona","Phoenix-Mesa-Scottsdale, AZ",2019,0.015,0.41,0.24,0.113,0.7,0.99,0.78
"04021","0400807","Pinal County (West)--Maricopa, Casa Grande & Eloy (Southeast) Cities, Arizona","Phoenix-Mesa-Scottsdale, AZ",2019,0.02,0.47,0.286,0.136,0.93,1.18,0.94
"04021","0400805","Pinal County (Central)--Florence Town, Eloy (Northeast) & Coolidge Cities, Arizona","Phoenix-Mesa-Scottsdale, AZ",2019,0.02,0.318,0.26,0.111,0.93,1.07,0.77
"04021","0400803","Pinal County (North)--Apache Junction City, Arizona","Phoenix-Mesa-Scottsdale, AZ",2019,0.02,0.426,0.277,0.154,0.93,1.14,1.07
"04015","0400600","Mohave & La Paz Counties--Lake Havasu City, Arizona","Lake Havasu City-Kingman, AZ",2019,0.022,0.378,0.28,0.238,1,1,1
"04017","0400300","Navajo & Apache Counties, Arizona","Show Low, AZ",2019,0.031,0.321,0.291,0.158,1,1,1
"04019","0400206","Tucson City (Northeast), Arizona","Tucson, AZ",2019,0.021,0.512,0.248,0.137,0.84,0.87,0.83
"04019","0400202","Tucson (West) & Marana Cities, Arizona","Tucson, AZ",2019,0.025,0.447,0.271,0.173,1,0.95,1.05
"04019","0400207","Tucson City (Northwest), Arizona","Tucson, AZ",2019,0.028,0.556,0.216,0.231,1.12,0.76,1.4
"04019","0400208","Tucson City (South), Arizona","Tucson, AZ",2019,0.034,0.443,0.303,0.224,1.36,1.06,1.36
"04019","0400205","Pima County (Southeast)--Tucson City (Far Southeast) & Sahuarita Town, Arizona","Tucson, AZ",2019,0.013,0.413,0.331,0.12,0.52,1.16,0.73
"04019","0400203","Pima County (North Central)--Oro Valley Town, Arizona","Tucson, AZ",2019,0.022,0.507,0.295,0.15,0.88,1.03,0.91
"04019","0400201","Pima County (West), Arizona","Tucson, AZ",2019,0.029,0.409,0.274,0.187,1.16,0.96,1.13
"04019","0400209","Tucson City (Southeast), Arizona","Tucson, AZ",2019,0.035,0.542,0.304,0.146,1.4,1.07,0.88
"04019","0400204","Pima County (Northeast), Arizona","Tucson, AZ",2019,0.019,0.49,0.324,0.127,0.76,1.14,0.77
"04025","0400500","Yavapai County, Arizona","Prescott, AZ",2019,0.019,0.418,0.23,0.212,1,1,1
"04027","0400700","Yuma County--Yuma City, Arizona","Yuma, AZ",2019,0.066,0.425,0.358,0.137,1,1,1
"05005","0500300","Baxter, Boone, Carroll, Marion, Madison, Newton & Searcy Counties, Arkansas","Mountain Home, AR",2019,0.019,0.428,0.406,0.087,1,1,1
"05007","0500100","Benton County, Arkansas","Fayetteville-Springdale-Rogers, AR-MO",2019,0.009,0.495,0.404,0.13,0.4,1.1,0.92
"05143","0500200","Washington County, Arkansas","Fayetteville-Springdale-Rogers, AR-MO",2019,0.038,0.513,0.328,0.153,1.68,0.89,1.09
"05031","0500500","Craighead (West), Greene, Randolph, Lawrence & Clay Counties, Arkansas","Jonesboro, AR",2019,0.037,0.473,0.406,0.124,1,1,1
"05035","0500600","Crittenden, Mississippi & Craighead (East) Counties, Arkansas","Memphis, TN-MS-AR",2019,0.039,0.473,0.385,0.141,1.32,1.29,1.07
"28033","2800100","North Delta Region--DeSoto County--Southaven City, Mississippi","Memphis, TN-MS-AR",2019,0.023,0.522,0.324,0.127,0.78,1.08,0.96
"28093","2800200","Northeast Region--Marshall, Alcorn, Prentiss, Tippah, Tishomingo & Benton Counties, Mississippi","Memphis, TN-MS-AR",2019,0.016,0.432,0.338,0.119,0.54,1.13,0.9
"47157","4703201","Memphis City (Central Riverside), Tennessee","Memphis, TN-MS-AR",2019,0.057,0.501,0.272,0.167,1.93,0.91,1.27
"47157","4703202","Memphis City (Central Midtown), Tennessee","Memphis, TN-MS-AR",2019,0.016,0.502,0.187,0.162,0.54,0.63,1.23
"47157","4703203","Memphis (North) & Bartlett (Southwest) Cities, Tennessee","Memphis, TN-MS-AR",2019,0.02,0.465,0.388,0.139,0.68,1.3,1.06
"47157","4703204","Shelby County (North)--Bartlett (North & East) & Millington Cities, Tennessee","Memphis, TN-MS-AR",2019,0.018,0.522,0.238,0.144,0.61,0.8,1.09
"47157","4703205","Memphis (East), Lakeland Cities & Arlington Town (South), Tennessee","Memphis, TN-MS-AR",2019,0.025,0.538,0.294,0.148,0.85,0.98,1.12
"47157","4703206","Shelby County (Southeast)--Collierville Town & Germantown City, Tennessee","Memphis, TN-MS-AR",2019,0.02,0.529,0.249,0.096,0.68,0.83,0.73
"47157","4703208","Memphis City (Southwest), Tennessee","Memphis, TN-MS-AR",2019,0.062,0.47,0.334,0.111,2.1,1.12,0.84
"47157","4703207","Memphis City (Southeast), Tennessee","Memphis, TN-MS-AR",2019,0.045,0.484,0.261,0.114,1.53,0.87,0.87
"47167","4703100","Tipton, Fayette & Lauderdale Counties, Tennessee","Memphis, TN-MS-AR",2019,0.024,0.469,0.345,0.117,0.81,1.16,0.89
"05045","0501100","Faulkner & Lonoke Counties, Arkansas","Little Rock-North Little Rock-Conway, AR",2019,0.014,0.495,0.296,0.118,0.81,0.95,0.97
"05119","0501000","Pulaski County (Central)--Little Rock City, Arkansas","Little Rock-North Little Rock-Conway, AR",2019,0.023,0.532,0.31,0.134,1.33,1,1.11
"05119","0500900","Pulaski County (Outer)--North Little Rock, Sherwood & Jacksonville Cities, Arkansas","Little Rock-North Little Rock-Conway, AR",2019,0.015,0.463,0.289,0.13,0.87,0.93,1.07
"05125","0501200","Saline County, Arkansas","Little Rock-North Little Rock-Conway, AR",2019,0.017,0.505,0.371,0.092,0.98,1.19,0.76
"05051","0501600","Garland, Hot Spring, Clark & Montgomery Counties, Arkansas","Hot Springs, AR",2019,0.015,0.437,0.319,0.19,1,1,1
"05063","0500400","Independence, Cleburne, Van Buren, Sharp, Izard, Stone & Fulton Counties, Arkansas","Batesville, AR",2019,0.02,0.419,0.383,0.185,1,1,1
"05069","0501700","Jefferson, Grant & Arkansas (Northwest) Counties, Arkansas","Pine Bluff, AR",2019,0.027,0.445,0.381,0.13,1,1,1
"05091","0502000","Southwest Arkansas, Arkansas","Texarkana, TX-AR",2019,0.038,0.454,0.326,0.17,1.45,1.03,1.11
"48037","4801100","Ark-Tex COG (East)--Bowie & Cass Counties, Texas","Texarkana, TX-AR",2019,0.015,0.405,0.309,0.137,0.57,0.97,0.9
"05115","0501300","Pope, Johnson, Yell, Conway & Perry Counties, Arkansas","Russellville, AR",2019,0.023,0.455,0.4,0.133,1,1,1
"05123","0500700","St. Francis, Poinsett, Phillips, Cross, Lee & Monroe Counties, Arkansas","Forrest City, AR",2019,0.036,0.421,0.416,0.091,1,1,1
"05131","0501400","Sebastian & Crawford Counties, Arkansas","Fort Smith, AR-OK",2019,0.026,0.461,0.384,0.125,1.11,1.06,1.03
"40079","4000300","Southeast Oklahoma, Oklahoma","Fort Smith, AR-OK",2019,0.02,0.409,0.333,0.117,0.86,0.92,0.96
"05139","0501900","South Central Arkansas, Arkansas","El Dorado, AR",2019,0.015,0.43,0.368,0.088,1,1,1
"05145","0500800","White, Jackson, Prairie & Woodruff Counties, Arkansas","Searcy, AR",2019,0.02,0.446,0.463,0.15,1,1,1
"06007","0600701","Butte County (Northwest)--Chico City, California","Chico, CA",2019,0.035,0.525,0.246,0.157,1.08,0.93,1.04
"06007","0600702","Butte County (Southeast)--Oroville City & Paradise Town, California","Chico, CA",2019,0.027,0.368,0.305,0.14,0.83,1.15,0.92
"06017","0601700","El Dorado County--El Dorado Hills, California","Sacramento--Roseville--Arden-Arcade, CA",2019,0.024,0.503,0.232,0.183,0.96,0.95,1.21
"06061","0606103","Placer County (East/High Country Region)--Auburn & Colfax Cities, California","Sacramento--Roseville--Arden-Arcade, CA",2019,0.01,0.517,0.246,0.152,0.4,1,1.01
"06061","0606101","Placer County (Southwest)--Roseville City, California","Sacramento--Roseville--Arden-Arcade, CA",2019,0.02,0.516,0.245,0.133,0.8,1,0.88
"06061","0606102","Placer County (Central)--Rocklin, Lincoln Cities & Loomis Town, California","Sacramento--Roseville--Arden-Arcade, CA",2019,0.013,0.462,0.203,0.149,0.52,0.83,0.99
"06067","0606711","Sacramento County (South)--Galt, Isleton Cities & Delta Region, California","Sacramento--Roseville--Arden-Arcade, CA",2019,0.022,0.477,0.266,0.165,0.88,1.08,1.09
"06067","0606710","Sacramento County (Central)--Elk Grove City, California","Sacramento--Roseville--Arden-Arcade, CA",2019,0.029,0.521,0.255,0.131,1.15,1.04,0.87
"06067","0606709","Sacramento County--Sacramento City (Southwest/Pocket, Meadowview & North Laguna), California","Sacramento--Roseville--Arden-Arcade, CA",2019,0.034,0.497,0.276,0.155,1.35,1.13,1.03
"06067","0606704","Sacramento County (North Central)--North Highlands, Foothill Farms & McClellan Park, California","Sacramento--Roseville--Arden-Arcade, CA",2019,0.029,0.481,0.271,0.175,1.15,1.11,1.16
"06067","0606708","Sacramento County--Sacramento City (Southeast/Fruitridge, Avondale & Depot Park), California","Sacramento--Roseville--Arden-Arcade, CA",2019,0.04,0.494,0.264,0.152,1.59,1.08,1.01
"06067","0606701","Sacramento County (North Central)--Citrus Heights City, California","Sacramento--Roseville--Arden-Arcade, CA",2019,0.041,0.535,0.228,0.185,1.63,0.93,1.23
"06067","0606705","Sacramento County (Northwest)--Sacramento City (Northwest/Natomas), California","Sacramento--Roseville--Arden-Arcade, CA",2019,0.023,0.549,0.265,0.111,0.92,1.08,0.74
"06067","0606703","Sacramento County (North Central)--Arden-Arcade, Carmichael & Fair Oaks (West), California","Sacramento--Roseville--Arden-Arcade, CA",2019,0.016,0.502,0.206,0.134,0.64,0.84,0.89
"06067","0606702","Sacramento County (Central)--Rancho Cordova City, California","Sacramento--Roseville--Arden-Arcade, CA",2019,0.028,0.515,0.244,0.154,1.11,1,1.02
"06067","0606712","Sacramento County (Northeast)--Folsom City, Orangevale & Fair Oaks (East), California","Sacramento--Roseville--Arden-Arcade, CA",2019,0.015,0.515,0.19,0.116,0.6,0.77,0.77
"06067","0606707","Sacramento County (West)--Sacramento City (Central/Downtown & Midtown), California","Sacramento--Roseville--Arden-Arcade, CA",2019,0.023,0.551,0.24,0.142,0.92,0.98,0.94
"06067","0606706","Sacramento County (North)--Sacramento City (North), Antelope & Rio Linda, California","Sacramento--Roseville--Arden-Arcade, CA",2019,0.026,0.471,0.296,0.173,1.04,1.21,1.15
"06113","0611300","Yolo County--Davis, Woodland & West Sacramento Cities, California","Sacramento--Roseville--Arden-Arcade, CA",2019,0.028,0.488,0.236,0.148,1.11,0.96,0.98
"06019","0601902","Fresno County (North Central)--Fresno City (North), California","Fresno, CA",2019,0.022,0.532,0.284,0.13,0.61,0.76,1.1
"06019","0601907","Fresno County (East)--Sanger, Reedley & Parlier Cities, California","Fresno, CA",2019,0.035,0.436,0.478,0.082,0.97,1.27,0.69
"06019","0601904","Fresno County (Central)--Fresno City (Southwest), California","Fresno, CA",2019,0.048,0.435,0.349,0.152,1.33,0.93,1.28
"06019","0601901","Fresno County (West)--Selma, Kerman & Coalinga Cities, California","Fresno, CA",2019,0.059,0.398,0.539,0.085,1.63,1.43,0.72
"06019","0601905","Fresno County (Central)--Fresno City (Southeast), California","Fresno, CA",2019,0.033,0.405,0.405,0.117,0.91,1.08,0.99
"06019","0601903","Fresno County (Central)--Fresno City (East Central), California","Fresno, CA",2019,0.04,0.426,0.377,0.127,1.1,1,1.07
"06019","0601906","Fresno County (Central)--Clovis City, California","Fresno, CA",2019,0.022,0.475,0.273,0.121,0.61,0.73,1.02
"06023","0602300","Humboldt County, California","Eureka-Arcata-Fortuna, CA",2019,0.037,0.51,0.353,0.182,1,1,1
"06025","0602500","Imperial County--El Centro City, California","El Centro, CA",2019,0.043,0.377,0.33,0.147,1,1,1
"06029","0602903","Kern County (Central)--Bakersfield City (Northeast), California","Bakersfield, CA",2019,0.029,0.409,0.393,0.134,0.84,1.06,1.09
"06029","0602905","Kern County (East)--Ridgecrest, Arvin, Tehachapi & California City Cities, California","Bakersfield, CA",2019,0.044,0.41,0.318,0.137,1.28,0.85,1.11
"06029","0602904","Kern County (Central)--Bakersfield City (Southeast), California","Bakersfield, CA",2019,0.027,0.398,0.44,0.091,0.79,1.18,0.74
"06029","0602901","Kern County (West)--Delano, Wasco & Shafter Cities, California","Bakersfield, CA",2019,0.037,0.43,0.431,0.116,1.08,1.16,0.94
"06029","0602902","Kern County (Central)--Bakersfield City (West), California","Bakersfield, CA",2019,0.031,0.471,0.321,0.124,0.9,0.86,1.01
"06031","0603100","Kings County--Hanford City, California","Hanford-Corcoran, CA",2019,0.022,0.407,0.391,0.112,1,1,1
"06037","0603716","Los Angeles County (East Central)--La Puente & Industry Cities, California","Los Angeles-Long Beach-Anaheim, CA",2019,0.036,0.519,0.285,0.151,1.4,1.14,0.9
"06037","0603703","Los Angeles County (North Central)--Lancaster City, California","Los Angeles-Long Beach-Anaheim, CA",2019,0.022,0.407,0.407,0.113,0.86,1.63,0.67
"06037","0603728","Los Angeles County (Southwest)--Santa Monica City, California","Los Angeles-Long Beach-Anaheim, CA",2019,0.02,0.558,0.144,0.16,0.78,0.58,0.95
"06037","0603729","Los Angeles County (West Central)--LA City (West Central/Westwood & West Los Angeles), California","Los Angeles-Long Beach-Anaheim, CA",2019,0.02,0.591,0.17,0.134,0.78,0.68,0.8
"06037","0603702","Los Angeles County (Northwest)--Santa Clarita City, California","Los Angeles-Long Beach-Anaheim, CA",2019,0.02,0.504,0.257,0.166,0.78,1.03,0.99
"06037","0603705","Los Angeles County (North)--LA City (Northwest/Chatsworth & Porter Ranch), California","Los Angeles-Long Beach-Anaheim, CA",2019,0.021,0.526,0.235,0.145,0.82,0.94,0.86
"06037","0603750","Los Angeles County (South Central)--LA City (South Central/Westmont), California","Los Angeles-Long Beach-Anaheim, CA",2019,0.02,0.481,0.307,0.187,0.78,1.23,1.11
"06037","0603743","Los Angeles County (Central)--East Los Angeles, California","Los Angeles-Long Beach-Anaheim, CA",2019,0.024,0.503,0.328,0.157,0.94,1.31,0.93
"06037","0603735","Los Angeles County--LA City (Mount Washington, Highland Park & Glassell Park), California","Los Angeles-Long Beach-Anaheim, CA",2019,0.034,0.584,0.242,0.195,1.33,0.97,1.16
"06037","0603736","Los Angeles County (Central)--Alhambra & South Pasadena Cities, California","Los Angeles-Long Beach-Anaheim, CA",2019,0.025,0.55,0.281,0.148,0.98,1.13,0.88
"06037","0603714","Los Angeles County--Diamond Bar, La Habra Heights (East) Cities & Rowland Heights, California","Los Angeles-Long Beach-Anaheim, CA",2019,0.033,0.541,0.265,0.167,1.29,1.06,0.99
"06037","0603734","Los Angeles County--LA City (East Central/Silver Lake, Echo Park & Westlake), California","Los Angeles-Long Beach-Anaheim, CA",2019,0.035,0.605,0.185,0.259,1.37,0.74,1.54
"06037","0603739","Los Angeles County (Southeast)--Whittier City & Hacienda Heights, California","Los Angeles-Long Beach-Anaheim, CA",2019,0.017,0.5,0.254,0.143,0.66,1.02,0.85
"06037","0603753","Los Angeles County (South)--Downey City, California","Los Angeles-Long Beach-Anaheim, CA",2019,0.018,0.521,0.329,0.161,0.7,1.32,0.96
"06037","0603758","Los Angeles County (South Central)--Gardena, Lawndale Cities & West Athens, California","Los Angeles-Long Beach-Anaheim, CA",2019,0.028,0.539,0.237,0.212,1.09,0.95,1.26
"06037","0603742","Los Angeles County (Central)--Huntington Park City, Florence-Graham & Walnut Park, California","Los Angeles-Long Beach-Anaheim, CA",2019,0.042,0.515,0.306,0.205,1.64,1.23,1.22
"06037","0603756","Los Angeles County (Southeast)--Bellflower & Paramount Cities, California","Los Angeles-Long Beach-Anaheim, CA",2019,0.023,0.517,0.278,0.154,0.9,1.11,0.91
"06037","0603721","Los Angeles County (North)--LA City (Northeast/North Hollywood & Valley Village), California","Los Angeles-Long Beach-Anaheim, CA",2019,0.02,0.575,0.188,0.238,0.78,0.75,1.41
"06037","0603722","Los Angeles County (Northwest)--LA City (North Central/Van Nuys & North Sherman Oaks), California","Los Angeles-Long Beach-Anaheim, CA",2019,0.031,0.579,0.236,0.194,1.21,0.95,1.15
"06037","0603763","Los Angeles County (South Central)--Long Beach City (North), California","Los Angeles-Long Beach-Anaheim, CA",2019,0.027,0.519,0.278,0.156,1.05,1.11,0.93
"06037","0603760","Los Angeles County--Redondo Beach, Manhattan Beach & Hermosa Beach Cities, California","Los Angeles-Long Beach-Anaheim, CA",2019,0.019,0.552,0.208,0.133,0.74,0.83,0.79
"06037","0603712","Los Angeles County (East Central)--Pomona City, California","Los Angeles-Long Beach-Anaheim, CA",2019,0.021,0.51,0.294,0.189,0.82,1.18,1.12
"06037","0603726","Los Angeles County--Calabasas, Agoura Hills, Malibu & Westlake Village Cities, California","Los Angeles-Long Beach-Anaheim, CA",2019,0.032,0.521,0.128,0.155,1.25,0.51,0.92
"06037","0603767","Los Angeles County (South)--LA City (South/San Pedro), California","Los Angeles-Long Beach-Anaheim, CA",2019,0.022,0.524,0.271,0.188,0.86,1.09,1.12
"06037","0603755","Los Angeles County (Southeast)--Norwalk City, California","Los Angeles-Long Beach-Anaheim, CA",2019,0.026,0.52,0.311,0.158,1.01,1.25,0.94
"06037","0603769","Los Angeles County (Southeast)--Long Beach (Central) & Signal Hill Cities, California","Los Angeles-Long Beach-Anaheim, CA",2019,0.029,0.579,0.24,0.188,1.13,0.96,1.12
"06037","0603717","Los Angeles County (East Central)--Arcadia, San Gabriel & Temple City Cities, California","Los Angeles-Long Beach-Anaheim, CA",2019,0.013,0.514,0.255,0.14,0.51,1.02,0.83
"06037","0603731","Los Angeles County (Central)--West Hollywood & Beverly Hills Cities, California","Los Angeles-Long Beach-Anaheim, CA",2019,0.037,0.659,0.132,0.224,1.44,0.53,1.33
"06037","0603720","Los Angeles County (Central)--Burbank City, California","Los Angeles-Long Beach-Anaheim, CA",2019,0.038,0.582,0.155,0.198,1.48,0.62,1.18
"06037","0603706","Los Angeles County (North)--LA City (North Central/Granada Hills & Sylmar), California","Los Angeles-Long Beach-Anaheim, CA",2019,0.012,0.511,0.302,0.153,0.47,1.21,0.91
"06037","0603733","Los Angeles County (Central)--LA City (Central/Koreatown), California","Los Angeles-Long Beach-Anaheim, CA",2019,0.02,0.587,0.264,0.224,0.78,1.06,1.33
"06037","0603732","Los Angeles County (Central)--LA City (East Central/Hollywood), California","Los Angeles-Long Beach-Anaheim, CA",2019,0.042,0.625,0.157,0.26,1.64,0.63,1.54
"06037","0603709","Los Angeles County (Central)--San Gabriel Valley Region (North), California","Los Angeles-Long Beach-Anaheim, CA",2019,0.024,0.498,0.213,0.121,0.94,0.85,0.72
"06037","0603749","Los Angeles County (Central)--Inglewood City, California","Los Angeles-Long Beach-Anaheim, CA",2019,0.027,0.557,0.266,0.203,1.05,1.07,1.21
"06037","0603738","Los Angeles County (Central)--El Monte & South El Monte Cities, California","Los Angeles-Long Beach-Anaheim, CA",2019,0.03,0.498,0.261,0.24,1.17,1.05,1.43
"06037","0603752","Los Angeles County (South)--South Gate & Lynwood Cities, California","Los Angeles-Long Beach-Anaheim, CA",2019,0.045,0.471,0.322,0.154,1.76,1.29,0.91
"06037","0603740","Los Angeles County (Central)--Pico Rivera & Montebello Cities, California","Los Angeles-Long Beach-Anaheim, CA",2019,0.028,0.53,0.308,0.205,1.09,1.23,1.22
"06037","0603768","Los Angeles County (Southwest)--Palos Verdes Peninsula, California","Los Angeles-Long Beach-Anaheim, CA",2019,0.013,0.506,0.226,0.111,0.51,0.91,0.66
"06037","0603701","Los Angeles County (North/Unincorporated)--Castaic, California","Los Angeles-Long Beach-Anaheim, CA",2019,0.019,0.427,0.257,0.144,0.74,1.03,0.86
"06037","0603715","Los Angeles County (East Central)--West Covina City, California","Los Angeles-Long Beach-Anaheim, CA",2019,0.019,0.527,0.279,0.149,0.74,1.12,0.88
"06037","0603704","Los Angeles County (North Central)--Palmdale City, California","Los Angeles-Long Beach-Anaheim, CA",2019,0.038,0.466,0.338,0.14,1.48,1.35,0.83
"06037","0603744","Los Angeles County (Central)--LA City (East Central/Central City & Boyle Heights), California","Los Angeles-Long Beach-Anaheim, CA",2019,0.034,0.475,0.215,0.181,1.33,0.86,1.08
